post_id,date,year,nhood,city,county,price,beds,baths,sqft,room_in_apt,title,descr
pre2013_122557,20040817,2004,san mateo,san mateo,san mateo,1595,3.0,,,0,"$1595 / 3br - Perfectly located, comfortable 3-bedroom for rent! ",
pre2013_103247,20041230,2004,potrero hill,san francisco,san francisco,1700,2.0,,,0,$1700 / 2br - Hip View apartment on the hill,
4258617743,20131226,2013,milpitas,milpitas,santa clara,2450,2.0,2.0,1146,0,    Dec 25 2Br/2Ba Perfect Condo Available Now    $2450 / 2br - 1146ft² -    (milpitas)   pic map   ,
pre2013_82939,20060813,2006,union city,union city,alameda,2000,3.0,,,0,$2000 / 3br - Beautiful 3 Bed Room House for Rent- Fremont,
pre2013_134305,20050113,2005,burlingame / hillsborough,burlingame,san mateo,1610,2.0,1.0,,0,"$1610 / 2br - Spacious 2 bedroom, 1 bath with sun porch and deck ",
4684227927,20140925,2014,scotts valley,scotts valley,santa cruz,3100,4.0,,,0,"Upscale, Great Location",
pre2013_60612,20120321,2012,menlo park,menlo park,san mateo,4250,2.0,,7700,0,"$4250 / 2br - Beautiful Home in West Menlo Park, 7700 SqFt Lot Size",
5365090059,20151218,2015,financial district,san francisco,san francisco,7500,2.0,,,0,,
pre2013_44606,20111220,2011,mountain view,mountain view,santa clara,2255,2.0,2.0,1000,0,$2255 / 2br - 1000ft² - Large 2Bed 2Bath (Mt. View),
pre2013_103921,20040616,2004,belmont / san carlos,belmont,san mateo,1325,2.0,2.0,,0,$1325 / 2br - 2br/2ba  1001 CONTINENTALS WAY  CHATEAU D'ORO APARTMENTS,
pre2013_109197,20041013,2004,san francisco,san francisco,san francisco,1950,3.0,2.5,,0,"$1950 / 3br - Westborough Townhouse, 2.5 bath,, 2 car garage, hardwood floor ,  washer&dryer;",
pre2013_57315,20120309,2012,ingleside,san francisco,san francisco,2400,2.0,,,0,$2400 / 2br - Pet Friendly Apartment Community with Carports and Garages,
